,GISPROPNUM,BOROUGH,ACRES,SIGNNAME,TYPECATEGO,handball,tennis,basketball,adult_soft,track_and,play_area_count,preserve_count,spray_count,OBJECTID,TPL_P_NAME,FREQUENCY,SUM_SVCAREA,SUM_TOTPOPSVCA,SUM_KIDSVCA,SUM_YOUNGPROSVCA,SUM_SENIORSVCA,SUM_HHILOWSVCA,SUM_HHIMEDSVCA,SUM_HHIHIGHSVCA,SUM_TOTHHSVCA,SUM_WHITE_SVC,SUM_BLACK_SVC,SUM_AMERINDSVC,SUM_ASIAN_SVC,SUM_PACIFICSVC,SUM_OTHRACESVC,SUM_RACE2UPSVC,SUM_HISP_SVC
244,B300,B,0.703,Oracle Playground,Jointly Operated Playground,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1075,Oracle Playground,33,10044440.5231,22174,4448,15039,2686,3653,2325,3541,9521,8162,8444,113,2007,1,2044,1396,4644
245,B301,B,1.259,Greene Playground,Jointly Operated Playground,2.0,0.0,2.0,0.0,0.0,6.0,0.0,1.0,568,Greene Playground,46,14232682.9125,29372,4759,20842,3772,3839,3470,6715,14019,12121,12300,93,2113,7,975,1760,3226
246,B302,B,1.26,Charlie's Place,Playground,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,232,Charlie's Place,31,11029362.382,32636,12817,16981,2834,5533,2422,1511,9469,15076,9044,252,1579,14,5364,1302,12177
247,B304,B,0.79,Kennedy King Playground,Jointly Operated Playground,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,776,Kennedy King Playground,46,13994900.3531,34439,9170,20951,4318,5441,4257,3053,12751,702,31495,103,280,24,912,925,2710
248,B305,B,0.23,P.S. 279 Playground,Jointly Operated Playground,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1189,P.S. 279 Playground,20,11857321.9025,18036,4335,11002,2702,1653,1837,2661,6148,1501,14533,90,845,8,548,510,1555
249,B306,B,0.868,Playground 286,Jointly Operated Playground,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1331,Playground 286,23,11220474.5938,19952,4169,11914,3870,3777,2033,2364,8176,12985,3024,51,2623,5,705,559,2257
250,B307,B,0.926,Tiger Playground,Jointly Operated Playground,2.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,1656,Tiger Playground,43,12749905.4085,32262,8994,20066,3206,4719,3365,2477,10562,6008,15354,387,609,60,8105,1740,16224
251,B308,B,0.444,Yak Playground,Jointly Operated Playground,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1790,Yak Playground,20,9420817.06316,17219,3667,10161,3391,3454,1709,1932,7096,10720,3137,53,2049,5,706,551,2250
252,B309,B,1.0,Pink Playground,Playground,2.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1323,Pink Playground,13,8189055.77962,14457,4677,8259,1520,2863,1492,655,5011,1471,10457,119,287,6,1581,539,3907
253,B310,B,1.29,Bushwick Playground,Community Park,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,193,Bushwick Playground,38,15160924.0905,34284,9143,21012,4128,6649,3143,2204,11993,13490,7864,331,3182,14,7809,1589,17691
